To \ From,af-south-1,ap-east-1,ap-east-2,ap-northeast-1,ap-northeast-2,ap-northeast-3,ap-south-1,ap-south-2,ap-southeast-1,ap-southeast-2,ap-southeast-3,ap-southeast-4,ap-southeast-5,ap-southeast-6,ap-southeast-7,ca-central-1,ca-west-1,eu-central-1,eu-central-2,eu-north-1,eu-south-1,eu-south-2,eu-west-1,eu-west-2,eu-west-3,il-central-1,me-central-1,me-south-1,mx-central-1,sa-east-1,us-east-1,us-east-2,us-west-1,us-west-2
af-south-1,5.03ms,267.76ms,287.46ms,295.76ms,293.20ms,299.06ms,168.29ms,180.62ms,227.89ms,316.37ms,240.89ms,325.64ms,232.28ms,140.73ms,255.42ms,224.78ms,290.23ms,157.03ms,153.92ms,178.16ms,199.72ms,135.90ms,156.60ms,148.94ms,147.93ms,231.68ms,148.77ms,153.94ms,306.04ms,337.74ms,227.93ms,239.29ms,291.06ms,273.11ms
ap-east-1,263.53ms,2.04ms,31.29ms,52.70ms,40.44ms,51.49ms,96.21ms,82.72ms,41.78ms,128.92ms,55.19ms,141.37ms,47.70ms,159.21ms,67.84ms,203.77ms,162.30ms,194.44ms,187.02ms,212.51ms,183.98ms,213.08ms,262.02ms,202.03ms,196.56ms,221.92ms,124.80ms,130.19ms,205.19ms,318.52ms,209.04ms,196.83ms,155.14ms,145.29ms
ap-east-2,286.97ms,35.75ms,6.35ms,40.48ms,66.25ms,42.12ms,130.97ms,118.97ms,68.70ms,154.28ms,83.89ms,165.50ms,74.24ms,176.53ms,94.14ms,184.97ms,143.76ms,225.64ms,221.34ms,247.38ms,219.24ms,219.34ms,235.59ms,243.02ms,251.08ms,256.83ms,153.23ms,159.46ms,190.04ms,289.15ms,178.86ms,165.97ms,141.61ms,132.53ms
ap-northeast-1,297.11ms,55.18ms,38.57ms,5.66ms,39.81ms,15.22ms,133.45ms,127.56ms,74.24ms,110.76ms,87.42ms,141.76ms,76.72ms,139.48ms,99.27ms,160.06ms,110.44ms,231.33ms,221.76ms,250.94ms,220.67ms,249.12ms,204.31ms,214.43ms,221.88ms,259.61ms,162.38ms,164.18ms,157.43ms,260.67ms,151.08ms,138.00ms,112.32ms,100.15ms
ap-northeast-2,295.93ms,39.94ms,66.96ms,37.02ms,6.47ms,27.06ms,135.52ms,124.51ms,73.69ms,145.07ms,88.48ms,154.97ms,78.94ms,169.80ms,102.11ms,177.37ms,143.26ms,230.87ms,226.01ms,248.95ms,224.26ms,223.16ms,234.75ms,245.29ms,255.07ms,262.51ms,162.08ms,163.81ms,188.58ms,291.69ms,182.50ms,169.48ms,136.90ms,130.77ms
ap-northeast-3,297.79ms,51.27ms,33.17ms,13.70ms,28.45ms,4.06ms,137.84ms,123.92ms,77.18ms,121.25ms,91.75ms,132.03ms,83.05ms,147.24ms,104.08ms,161.63ms,115.20ms,233.05ms,230.33ms,254.59ms,225.23ms,225.32ms,213.87ms,221.31ms,231.34ms,263.72ms,163.70ms,167.59ms,162.74ms,267.12ms,157.44ms,144.51ms,112.97ms,104.02ms
ap-south-1,171.73ms,101.22ms,128.41ms,133.92ms,135.23ms,136.88ms,5.13ms,27.44ms,64.04ms,156.76ms,79.79ms,166.57ms,69.10ms,186.10ms,91.44ms,191.63ms,237.59ms,122.98ms,117.78ms,142.80ms,112.02ms,138.50ms,125.30ms,116.05ms,106.96ms,138.43ms,33.32ms,45.19ms,254.14ms,300.47ms,191.17ms,200.54ms,232.33ms,222.21ms
ap-south-2,180.15ms,83.05ms,112.05ms,115.88ms,116.66ms,122.35ms,18.87ms,6.63ms,50.39ms,139.43ms,63.78ms,147.91ms,52.85ms,171.45ms,72.76ms,203.28ms,222.79ms,137.15ms,131.51ms,158.92ms,129.97ms,128.41ms,139.64ms,130.17ms,119.77ms,149.65ms,43.94ms,48.38ms,251.47ms,311.35ms,199.92ms,212.07ms,213.85ms,204.05ms
ap-southeast-1,226.39ms,39.38ms,67.33ms,73.87ms,74.35ms,79.00ms,65.09ms,49.19ms,4.80ms,94.30ms,20.63ms,105.75ms,12.22ms,127.71ms,31.87ms,222.50ms,175.07ms,164.74ms,157.83ms,182.90ms,152.17ms,181.77ms,174.39ms,165.30ms,166.05ms,192.80ms,91.86ms,99.16ms,223.68ms,326.45ms,220.15ms,206.43ms,175.04ms,166.09ms
ap-southeast-2,314.10ms,131.44ms,151.10ms,108.05ms,148.95ms,122.93ms,157.03ms,140.19ms,97.12ms,2.38ms,110.73ms,14.92ms,101.40ms,33.53ms,120.93ms,201.08ms,160.33ms,257.19ms,247.29ms,272.21ms,243.75ms,270.99ms,258.78ms,269.80ms,281.88ms,282.92ms,183.61ms,186.38ms,204.50ms,315.73ms,200.49ms,191.59ms,141.41ms,144.40ms
ap-southeast-3,240.96ms,53.33ms,83.36ms,86.57ms,91.00ms,95.05ms,85.84ms,67.02ms,21.44ms,111.99ms,2.23ms,122.32ms,24.58ms,137.11ms,51.28ms,237.34ms,192.40ms,180.65ms,173.16ms,197.41ms,172.04ms,170.24ms,191.56ms,185.81ms,182.09ms,206.64ms,108.53ms,112.66ms,241.39ms,343.61ms,236.07ms,216.97ms,187.92ms,180.20ms
ap-southeast-4,326.19ms,140.67ms,164.04ms,143.77ms,154.09ms,136.56ms,168.16ms,150.77ms,107.62ms,16.67ms,121.66ms,3.31ms,113.75ms,42.46ms,133.39ms,209.65ms,169.19ms,262.29ms,257.79ms,283.18ms,255.61ms,281.68ms,269.32ms,277.85ms,290.68ms,293.37ms,196.45ms,194.86ms,215.38ms,325.21ms,211.66ms,201.58ms,153.60ms,151.56ms
ap-southeast-5,234.66ms,44.20ms,75.78ms,79.68ms,76.69ms,85.52ms,70.64ms,56.46ms,9.85ms,103.17ms,25.60ms,113.71ms,5.69ms,132.76ms,27.10ms,228.97ms,181.50ms,170.38ms,165.59ms,188.41ms,157.76ms,161.74ms,182.91ms,177.53ms,171.31ms,198.57ms,102.02ms,103.20ms,228.29ms,335.19ms,226.68ms,209.54ms,180.29ms,168.10ms
ap-southeast-6,347.11ms,165.87ms,181.47ms,139.48ms,172.24ms,150.87ms,190.87ms,177.99ms,130.82ms,34.77ms,140.74ms,45.16ms,134.26ms,4.86ms,154.30ms,236.77ms,196.06ms,289.11ms,286.11ms,308.33ms,277.39ms,301.82ms,291.43ms,307.48ms,312.75ms,315.01ms,212.10ms,213.98ms,239.25ms,349.92ms,233.83ms,217.39ms,171.46ms,178.77ms
ap-southeast-7,252.52ms,67.39ms,94.90ms,101.73ms,102.06ms,104.37ms,92.24ms,79.52ms,31.50ms,125.99ms,45.21ms,135.62ms,28.95ms,153.71ms,3.47ms,250.96ms,205.03ms,189.02ms,185.55ms,208.91ms,180.02ms,178.71ms,204.56ms,192.71ms,194.05ms,220.74ms,121.40ms,124.34ms,251.63ms,357.24ms,247.49ms,231.53ms,201.17ms,189.83ms
ca-central-1,224.09ms,203.74ms,186.83ms,157.16ms,178.76ms,161.26ms,188.70ms,209.29ms,222.92ms,202.29ms,236.32ms,211.14ms,230.22ms,236.67ms,250.47ms,7.28ms,49.24ms,95.24ms,96.97ms,107.21ms,106.38ms,111.44ms,72.29ms,84.27ms,92.39ms,139.50ms,198.73ms,173.08ms,98.49ms,128.82ms,20.22ms,31.72ms,82.32ms,63.73ms
ca-west-1,293.28ms,166.15ms,138.81ms,112.73ms,141.37ms,120.57ms,242.78ms,232.25ms,177.07ms,162.70ms,192.32ms,171.08ms,182.01ms,195.51ms,205.91ms,52.17ms,4.51ms,162.42ms,163.24ms,177.76ms,172.84ms,173.11ms,138.37ms,149.68ms,157.77ms,206.44ms,267.23ms,249.36ms,84.78ms,200.13ms,58.43ms,43.02ms,42.95ms,24.89ms
eu-central-1,157.20ms,192.61ms,223.62ms,232.38ms,231.63ms,236.67ms,121.07ms,139.83ms,163.66ms,252.30ms,175.56ms,261.81ms,166.38ms,284.47ms,187.27ms,95.97ms,162.53ms,4.75ms,11.56ms,25.37ms,16.20ms,37.42ms,31.23ms,18.01ms,12.59ms,54.86ms,101.58ms,87.54ms,174.29ms,206.02ms,96.29ms,103.88ms,157.32ms,144.18ms
eu-central-2,154.19ms,189.88ms,219.70ms,224.19ms,225.73ms,230.41ms,116.28ms,138.05ms,159.52ms,247.22ms,171.32ms,258.23ms,160.15ms,279.69ms,184.39ms,98.33ms,164.16ms,9.95ms,7.30ms,30.17ms,10.14ms,34.63ms,30.45ms,21.91ms,15.11ms,47.31ms,115.38ms,92.42ms,175.62ms,202.29ms,94.91ms,104.27ms,156.54ms,148.36ms
eu-north-1,175.21ms,212.89ms,242.47ms,246.71ms,248.68ms,252.71ms,140.70ms,157.56ms,184.94ms,273.59ms,196.06ms,284.49ms,187.08ms,305.96ms,206.57ms,106.06ms,170.87ms,23.14ms,27.61ms,2.72ms,32.09ms,52.02ms,39.91ms,31.63ms,31.64ms,70.30ms,119.43ms,106.11ms,190.75ms,222.69ms,112.77ms,124.68ms,173.22ms,155.34ms
eu-south-1,197.46ms,184.53ms,214.62ms,218.38ms,220.87ms,225.00ms,114.29ms,135.36ms,154.97ms,244.30ms,167.29ms,253.18ms,160.06ms,277.37ms,180.10ms,106.40ms,168.72ms,17.56ms,9.81ms,34.41ms,6.43ms,29.39ms,36.77ms,29.43ms,25.62ms,43.36ms,112.16ms,81.87ms,185.22ms,212.84ms,106.40ms,111.87ms,164.68ms,153.63ms
eu-south-2,137.94ms,215.64ms,222.20ms,249.45ms,228.01ms,230.83ms,139.79ms,128.24ms,179.12ms,272.19ms,170.50ms,284.83ms,162.95ms,309.17ms,182.82ms,113.39ms,175.65ms,35.77ms,35.69ms,56.40ms,32.82ms,8.36ms,37.92ms,35.59ms,22.43ms,62.33ms,123.42ms,93.21ms,188.01ms,220.88ms,107.01ms,113.47ms,173.39ms,155.13ms
eu-west-1,158.39ms,263.72ms,231.14ms,203.69ms,236.34ms,212.63ms,126.45ms,140.67ms,177.43ms,258.82ms,191.30ms,268.99ms,181.54ms,290.22ms,201.66ms,71.34ms,136.42ms,30.03ms,32.36ms,39.99ms,39.81ms,39.36ms,5.61ms,14.20ms,24.92ms,73.07ms,133.41ms,101.22ms,152.35ms,181.50ms,73.14ms,82.67ms,133.19ms,121.29ms
eu-west-2,152.43ms,199.80ms,240.88ms,211.88ms,243.86ms,226.54ms,118.59ms,134.77ms,164.78ms,269.16ms,182.01ms,277.73ms,170.88ms,300.38ms,194.50ms,80.03ms,149.08ms,18.91ms,24.15ms,34.01ms,29.93ms,36.10ms,14.40ms,6.86ms,14.34ms,65.47ms,125.18ms,93.20ms,160.13ms,190.34ms,80.38ms,93.11ms,151.64ms,131.02ms
eu-west-3,148.57ms,198.06ms,249.49ms,221.02ms,251.24ms,230.15ms,109.27ms,124.77ms,163.73ms,282.24ms,182.41ms,291.31ms,172.61ms,308.27ms,191.44ms,91.54ms,155.44ms,13.21ms,12.82ms,36.72ms,23.41ms,19.56ms,22.51ms,11.63ms,6.01ms,57.04ms,116.41ms,91.94ms,164.83ms,197.11ms,85.88ms,96.97ms,144.34ms,138.23ms
il-central-1,233.13ms,235.17ms,253.62ms,261.83ms,266.90ms,271.62ms,145.42ms,156.23ms,195.75ms,284.66ms,209.85ms,294.30ms,197.30ms,313.89ms,222.61ms,137.32ms,203.49ms,54.35ms,47.34ms,71.50ms,46.07ms,63.15ms,73.98ms,67.52ms,58.07ms,4.94ms,144.81ms,122.14ms,215.57ms,250.77ms,140.72ms,147.13ms,201.71ms,188.12ms
me-central-1,147.74ms,125.29ms,151.06ms,159.08ms,158.10ms,165.40ms,43.18ms,44.12ms,89.96ms,182.33ms,103.86ms,191.87ms,97.05ms,207.33ms,125.93ms,196.34ms,264.74ms,102.75ms,115.45ms,120.48ms,112.13ms,121.84ms,132.42ms,123.14ms,116.15ms,143.94ms,5.16ms,15.30ms,273.58ms,306.86ms,196.53ms,206.32ms,255.85ms,246.54ms
me-south-1,151.69ms,130.18ms,156.86ms,161.96ms,162.20ms,166.92ms,38.77ms,52.48ms,94.31ms,184.14ms,110.20ms,196.33ms,101.21ms,209.62ms,122.86ms,168.43ms,242.40ms,87.42ms,91.43ms,106.06ms,81.07ms,88.78ms,102.53ms,93.02ms,88.95ms,114.54ms,16.23ms,3.54ms,243.02ms,276.20ms,165.74ms,175.54ms,226.02ms,243.94ms
mx-central-1,309.80ms,209.17ms,190.45ms,160.17ms,188.48ms,166.77ms,258.15ms,265.17ms,225.05ms,205.12ms,237.80ms,219.18ms,232.35ms,239.10ms,250.78ms,101.37ms,77.17ms,175.85ms,174.71ms,189.51ms,183.74ms,187.54ms,153.74ms,158.47ms,168.42ms,217.99ms,276.00ms,246.28ms,3.27ms,199.61ms,63.74ms,63.92ms,67.48ms,85.18ms
sa-east-1,336.40ms,318.39ms,287.92ms,259.15ms,293.06ms,268.13ms,298.67ms,315.29ms,326.12ms,316.07ms,342.56ms,323.75ms,333.70ms,346.01ms,355.86ms,127.41ms,193.64ms,205.98ms,203.28ms,224.84ms,213.37ms,219.94ms,179.63ms,191.79ms,196.75ms,246.79ms,308.38ms,273.97ms,195.05ms,6.80ms,118.13ms,124.93ms,176.37ms,179.44ms
us-east-1,230.58ms,213.97ms,178.41ms,152.15ms,182.16ms,159.86ms,188.08ms,205.66ms,223.62ms,206.35ms,237.97ms,213.97ms,229.34ms,233.02ms,249.87ms,20.11ms,55.86ms,95.50ms,95.66ms,115.71ms,105.99ms,101.65ms,73.29ms,81.73ms,85.67ms,136.69ms,199.27ms,167.44ms,61.20ms,115.74ms,9.53ms,20.99ms,68.48ms,67.81ms
us-east-2,243.24ms,204.56ms,169.60ms,142.05ms,175.02ms,149.05ms,204.18ms,214.79ms,204.72ms,194.95ms,218.74ms,204.02ms,211.92ms,223.18ms,234.38ms,32.95ms,47.21ms,108.39ms,109.55ms,130.45ms,118.61ms,117.50ms,87.52ms,95.84ms,103.15ms,152.95ms,210.03ms,180.57ms,61.45ms,131.99ms,21.49ms,8.51ms,58.42ms,53.34ms
us-west-1,288.49ms,156.46ms,141.46ms,111.56ms,139.86ms,114.41ms,229.59ms,217.99ms,173.73ms,140.76ms,188.63ms,152.54ms,180.13ms,166.82ms,201.87ms,83.40ms,41.93ms,157.21ms,157.19ms,173.88ms,167.57ms,171.22ms,132.51ms,150.00ms,149.57ms,199.12ms,257.28ms,224.94ms,68.42ms,174.81ms,69.21ms,51.86ms,5.80ms,23.45ms
us-west-2,274.82ms,149.13ms,132.34ms,103.50ms,131.30ms,106.70ms,220.70ms,207.26ms,166.84ms,143.26ms,177.83ms,151.94ms,171.38ms,177.44ms,190.38ms,64.23ms,24.76ms,146.07ms,144.75ms,158.76ms,155.73ms,155.13ms,120.25ms,131.26ms,139.35ms,185.74ms,247.19ms,242.69ms,83.58ms,177.40ms,69.55ms,52.56ms,21.73ms,5.89ms
